product_sku;attribute_name;attribute_value
79391608;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/xmoove.html
79391608;points_forts_0;<ul><li>Un design unique</li><li>Compatible avec tous les appareils USB</li><li>Simple comme bonjour</li></ul>
79394381;note_environnementale;C
79394381;poids_produit;18 g
79394381;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79396616;note_environnementale;C
79396616;poids_produit;0.52 kg
79396616;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sagemcom.html
79396616;points_forts_0;<ul><li>Téléphone filaire avec la fonction mains libres</li><li>Utilisable même en cas de coupure de courant</li><li>Fonctionne sans piles, ni batteries ni alimentation extérieure</li><li>Répertoire de 80 noms et numéros</li><li>Ecran alphanumérique</li><li>Mains libres</li><li>11 touches mémoire</li><li>Identification de l'appelant (nom et numéro)</li></ul>
79396616;type_appareil_telephonique_0;Téléphone filaire
79396618;note_environnementale;D
79396618;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sagemcom.html
79396618;points_forts_0;<ul><li>Combiné design</li><li>Écran rétroéclairé</li><li>Mains libres sur le combiné</li><li>Répertoire 50 contacts</li></ul>
79396618;format_batterie;Type AAA
79396618;type_appareil_telephonique_0;Téléphone sans fil
79396618;nombre_combines_sans_fil_0;1.0
79396619;note_environnementale;C
79396619;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sagemcom.html
79396619;points_forts_0;<ul><li>Fonctionne même en cas de coupure de courant</li><li>Volume d'écoute ajustable</li><li>Rappel du dernier numéro composé: bis</li><li>Mode secret</li></ul>
79396619;type_appareil_telephonique_0;Téléphone filaire
79393286;technologie_connectivite_0;Sans fil
79393286;technologie_connectivite_1;Filaire
79393286;hauteur_produi;7 cm
79393286;largeur_produit;17.2 cm
79393286;note_environnementale;C
79393286;poids_produit;610 g
79393286;profondeur_produit;6.4 cm
79393286;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/jabra.html
79393287;technologie_connectivite_0;Sans fil
79393287;technologie_connectivite_1;Filaire
79393287;hauteur_produi;7 cm
79393287;largeur_produit;17.2 cm
79393287;note_environnementale;C
79393287;poids_produit;610 g
79393287;profondeur_produit;6.4 cm
79393287;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/jabra.html
79393288;technologie_connectivite_0;Sans fil
79393288;technologie_connectivite_1;Filaire
79393288;hauteur_produi;6.05 cm
79393288;largeur_produit;5.3 cm
79393288;note_environnementale;C
79393288;poids_produit;330 g
79393288;profondeur_produit;12.6 cm
79393288;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/jabra.html
79393288;points_forts_0;<ul><li>Batterie rechargeable intégrée pour écouter de la musique lors de vos déplacements</li><li>Conception ultra-portable</li><li>Doubles haut-parleurs pour un son puissant</li><li>Fond qui amortit les vibrations</li><li>NFC pour un appairage facile</li></ul>
79393289;technologie_connectivite_0;Sans fil
79393289;technologie_connectivite_1;Filaire
79393289;hauteur_produi;6.05 cm
79393289;largeur_produit;5.3 cm
79393289;note_environnementale;C
79393289;poids_produit;330 g
79393289;profondeur_produit;12.6 cm
79393289;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/jabra.html
79393289;points_forts_0;<ul><li>Batterie rechargeable intégrée pour écouter de la musique lors de vos déplacements</li><li>Conception ultra-portable</li><li>Doubles haut-parleurs pour un son puissant</li><li>Fond qui amortit les vibrations</li><li>NFC pour un appairage facile</li></ul>
79393290;technologie_connectivite_0;Sans fil
79393290;technologie_connectivite_1;Filaire
79393290;hauteur_produi;6.05 cm
79393290;largeur_produit;5.3 cm
79393290;note_environnementale;C
79393290;poids_produit;330 g
79393290;profondeur_produit;12.6 cm
79393290;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/jabra.html
79393290;points_forts_0;<ul><li>Batterie rechargeable intégrée pour écouter de la musique lors de vos déplacements</li><li>Conception ultra-portable</li><li>Doubles haut-parleurs pour un son puissant</li><li>Fond qui amortit les vibrations</li><li>NFC pour un appairage facile</li></ul>
79396728;note_environnementale;B
79396728;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/armor.html
79396728;categorie_accessoire_0;Consommables d'impression
79396728;compatibilite_materiel_informatique_0;PC
79396728;consommables_inclus_0;Pack de 1
79396728;nombre_pages_imprimables_0;2600 pages
79396728;couleur_article_0;Cyan
79396728;type_consommable_0;Cartouche de toner
79396728;cartouche_compatible_0;HP 305A
79393292;technologie_connectivite_0;Sans fil
79393292;hauteur_produi;2.42 cm
79393292;largeur_produit;6.52 cm
79393292;note_environnementale;C
79393292;poids_produit;7.9 g
79393292;profondeur_produit;1.54 cm
79393292;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/jabra.html
79393292;points_forts_0;<ul><li>Modèle compact et discret doté de la technologie microPOWER</li><li>L'appli Jabra Assist vous aide à retrouver votre micro-casque à l'aide d'un repérage GPS</li><li>Technologie Noise Blackout et voix HD pour un son d'une grande clarté des deux côtés de la ligne</li><li>Technologie NFC pour un appairage facile avec n'importe quel appareil mobile</li><li>Autonomie de conversation de 6 h grâce à la fonction d'économie d'énergie PowerNap</li></ul>
79393292;type_alimentation_0;Adaptateur secteur
79395490;note_environnementale;C
79395490;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/armor.html
