promo_id;product_sku;reference_price;discount_value
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405199924;7.99;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405240807;12.49;40.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79346816;27.99;45.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;117287;16.99;45.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405222242;8.6;35.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405231924;8.29;40.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405231925;8.29;40.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79414199;6.69;40.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79395407;7.19;24.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79395408;13.39;18.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405221352;3.99;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405221366;9.99;40.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405133223;19.99;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224123;129.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224125;129.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224126;129.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224097;139.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224077;149.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224100;169.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224098;169.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224099;169.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224101;169.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224078;159.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224080;199.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224102;269.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224085;259.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224089;259.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224081;259.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224103;269.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224122;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224082;279.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224086;279.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224090;279.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224094;279.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224083;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224087;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224091;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224095;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224084;299.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224088;299.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224092;299.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224096;299.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405249181;309.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405249179;319.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224112;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224106;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224108;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224109;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224107;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224110;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224113;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224111;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405249183;199.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405249180;339.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405249182;379.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224128;189.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224135;199.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225764;229.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224139;229.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224142;279.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225761;279.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224131;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224130;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224140;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225782;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224129;289.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225767;299.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224143;379.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225779;379.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225785;409.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224141;429.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225773;429.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224144;549.0;30.0
