sku;product_name;created_at;updated_at;status;tax_class_id;brand;barcode;product_type;product_typology;product_condition;authorized_shop_sale;product_sales;rating_summary;total_reviews
79419734;Chaise FRESH - dossier resille noir et assise bleue;2025-05-25 05:01:00;2025-05-28 21:48:00;Enabled;Classe de taxe produit 20%;Sokoa;366000000000000000;StockÃ©;standard;Produit Neuf;False;2.0;;0.0
79394421;Muvit Ultra Slim Folio - Protection Ã  rabat pour iPhone 5, 5s - blanc;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;muvit;366000000000000000;StockÃ©;standard;;;2.0;;0.0
79394423;Muvit Premium Pack - protection Ã  rabat pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;muvit;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79394424;Seventees Charlie Chaplin - coque de protection pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Seventees;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79394425;Seventees Jackson 5 - coque de protection pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Seventees;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79394426;Seventees Rocky Balboa - coque de protection pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Seventees;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79394427;Seventees Bob Marley - coque de protection pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Seventees;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79394428;Seventees Marylin Monroe - Coque de protection pour iPhone 6;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Seventees;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79394432;Wiko 2skins - coque de protection pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Wiko;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79148743;Samsung INK-M41 - noire - originale - cartouche d'encre ;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Samsung;881000000000000000;StockÃ©;cartridge;;;2.0;;0.0
79419748;Chauffeuse SEATON - angle 45Â° - Vert;2025-05-24 21:09:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Sokoa;366000000000000000;StockÃ©;standard;Produit Neuf;False;2.0;;0.0
79419749;Chauffeuse SEATON - angle 45Â° - Mauve;2025-05-24 21:09:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Sokoa;366000000000000000;StockÃ©;standard;Produit Neuf;False;2.0;;0.0
79392227;Muvit Slim Folio - Protection Ã  rabat pour HTC Desire 310 - noir;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;muvit;366000000000000000;StockÃ©;standard;;;2.0;;0.0
79392228;Muvit MUSCP0553 - kit de protection pour Ã©cran;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;366000000000000000;StockÃ©;standard;;;2.0;;0.0
79391139;HP 91 - Pack de 3 - magenta - cartouche d'encre originale;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;HP;88400000000000000;StockÃ©;cartridge;;;2.0;;0.0
79419814;MaulStarlet - Lampe de bureau LED - jaune;2025-05-25 09:18:00;2025-05-28 22:41:00;Enabled;Classe de taxe produit 20%;MAUL;400000000000000000;StockÃ©;standard;Produit Neuf;;2.0;;0.0
79150085;Cartable AstÃ©rix Romain - 38 cm - 2 compartiments;2025-05-24 21:09:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Oberthur;311000000000000000;StockÃ©;standard;;;2.0;;0.0
79150086;Cartable AstÃ©rix Romain - 41cm - 2 compartiments - Ã  roulettes;2025-05-24 21:09:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Oberthur;311000000000000000;StockÃ©;standard;;;2.0;;0.0
79419817;MaulStarlet - Lampe de bureau LED - vert clair;2025-05-25 09:18:00;2025-05-28 22:41:00;Enabled;Classe de taxe produit 20%;MAUL;400000000000000000;StockÃ©;standard;Produit Neuf;;2.0;;0.0
79419890;Fauteuil gamer RACER - accoudoirs rabattables - noir et rouge;2025-05-25 05:01:00;2025-05-28 21:48:00;Enabled;Classe de taxe produit 20%;MT;370000000000000000;StockÃ©;standard;Produit Neuf;False;30.0;4 Ã©toiles;7.0
